Resim,Seri,Model,İlan Başlığı,Yıl,KM,Renk,Fiyat,İlan Tarihi,İl / İlçe,İlan Linki
https://i0.shbdn.com/photos/09/79/30/lthmb_1240097930tyx.jpg,3 Serisi,318i Edition Sport Line,2018 BMW 318İ EDİTİON SPORTLİNE K.KARTI 12 TAKSİT ÖZTÜRKDEN,2018,190.000,Gümüş Gri,1450000,05 Ağustos 2025,Adana / Seyhan,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2018-bmw-318i-edition-sportline-k.karti-12-taksit-ozturkden-1240097930/detay
https://i0.shbdn.com/photos/01/88/84/lthmb_1260018884seh.jpg,5 Serisi,525d xDrive Premium,GARAJ AUTODAN 525X DRİVE DÜŞÜK KM BMW,2014,169.000,Beyaz,1885000,05 Ağustos 2025,Şanlıurfa / Viranşehir,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-garaj-autodan-525x-drive-dusuk-km-bmw-1260018884/detay
https://i0.shbdn.com/photos/00/82/41/lthmb_1263008241dgp.jpg,3 Serisi,320i ED Luxury M Plus,FIRAT'TAN - 2014 BMW 320İED LUXURY+M SPORT İÇİ TABA .!!,2014,238.000,Lacivert,1200000,05 Ağustos 2025,İzmir / Buca,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-firat-tan-2014-bmw-320ied-luxury-plusm-sport-ici-taba-1263008241/detay
https://i0.shbdn.com/photos/02/17/93/lthmb_1263021793u9i.jpg,5 Serisi,525d xDrive M Sport,HY OTOMOTİV 2012 5.25d X-Drive M-SPORT - RECARO - NBT - HAYALET,2012,253.000,Beyaz,1099900,05 Ağustos 2025,Denizli / Pamukkale,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-hy-otomotiv-2012-5.25d-x-drive-m-sport-recaro-nbt-hayalet-1263021793/detay
https://i0.shbdn.com/photos/43/93/93/lthmb_126143939312f.jpg,3 Serisi,316i Premium,"TEMİZ BAKIMLI PRİNS LPG'Lİ 3,16 ACİL",2007,252.500,Siyah,458500,05 Ağustos 2025,Adana / Seyhan,"https://www.sahibinden.com/ilan/vasita-otomobil-bmw-temiz-bakimli-prins-lpg-li-3,16-acil-1261439393/detay"
https://i0.shbdn.com/photos/02/01/01/lthmb_1263020101wsb.jpg,1 Serisi,118i Pure,NİL OTOMOTİV'DEN 2018 BMW 118i OTOMTİK84000'KM HATASIZ TRAMERSİZ,2018,84.000,Beyaz,1289000,05 Ağustos 2025,Ankara / Akyurt,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-nil-otomotiv-den-2018-bmw-118i-otomtik84000-km-hatasiz-tramersiz-1263020101/detay
https://i0.shbdn.com/photos/01/80/32/lthmb_1263018032k6c.jpg,3 Serisi,320d M Sport,UT MOTORSTAN HATASIZ E92 İLANDA,2007,281.000,Füme,935000,05 Ağustos 2025,Adana / Seyhan,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-ut-motorstan-hatasiz-e92-ilanda-1263018032/detay
https://i0.shbdn.com/photos/01/29/29/lthmb_1263012929sst.jpg,5 Serisi,520i M Sport,SOFTCAR DAN HATASIZ BOYASIZ TRAMERSİZ BMW 520İ M SPORT K.ŞARJ VA,2020,35.000,Lacivert,3690000,05 Ağustos 2025,İstanbul / Esenyurt,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-softcar-dan-hatasiz-boyasiz-tramersiz-bmw-520i-m-sport-k.sarj-va-1263012929/detay
https://i0.shbdn.com/photos/00/45/03/lthmb_1263004503swo.jpg,3 Serisi,318i Standart,BalkınOTO-2004 BMW 3.18i-OTOMATİK-­SUNROOF-K.ISIT­MA-E.PERDE-DERİ,2004,195.000,Siyah,625000,05 Ağustos 2025,Gaziantep / Şehitkamil,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-balkinoto-2004-bmw-3.18i-otomatik-sunroof-k.isitma-e.perde-deri-1263004503/detay
https://i0.shbdn.com/photos/01/26/22/lthmb_1263012622kwp.jpg,3 Serisi,320i ED Techno Plus,ÖZGÜR 62 OTOMOTİV DEN BMW 320 İ HATASIZ BOYASIZ,2016,174.000,Beyaz,1560000,05 Ağustos 2025,Elazığ / Merkez,https://www.sahibinden.com/ilan/vasita-otomobil-bmw-ozgur-62-otomotiv-den-bmw-320-i-hatasiz-boyasiz-1263012622/detay
